Height: 10
Width: 10
Pill density: 50
Random seed: 1447035707
Result log: output/out1.log

10
10
m 0 0
0 9 9
1 9 9
2 9 9
p 1 0
p 2 0
p 6 0
p 7 0
p 8 0
p 1 1
p 2 1
p 3 1
p 5 1
p 6 1
p 8 1
p 0 2
p 1 2
p 3 2
p 5 2
p 6 2
p 7 2
p 9 2
p 0 3
p 2 3
p 4 3
p 6 3
p 7 3
p 8 3
p 2 4
p 4 4
p 6 4
p 8 4
p 9 4
p 2 5
p 3 5
p 4 5
p 5 5
p 7 5
p 9 5
p 4 6
p 5 6
p 6 6
p 9 6
p 0 7
p 5 7
p 6 7
p 8 7
p 9 7
p 0 8
p 1 8
p 2 8
p 4 8
p 8 8
p 1 9
p 5 9
t 200 0
m 0 1
0 9 8
1 9 8
2 9 8
t 199 0
m 1 1
0 8 8
1 8 8
2 9 7
t 198 1
m 1 2
0 8 7
1 8 7
2 9 8
t 197 2
m 1 1
0 8 6
1 8 8
2 8 8
t 196 2
m 1 0
0 8 5
1 8 7
2 8 7
t 195 3
m 1 0
0 7 5
1 8 8
2 7 7
t 194 3
m 1 1
0 6 5
1 8 7
2 7 6
t 193 3
m 1 2
0 7 5
1 8 6
2 8 6
t 192 3
m 0 2
0 6 5
1 8 5
2 7 6
t 191 4
m 0 3
0 6 6
1 8 6
2 7 7
t 190 5
m 0 2
0 6 5
1 8 5
2 6 7
t 189 5
m 1 2
0 5 5
1 8 6
2 6 6
t 188 5
m 1 1
0 4 5
1 8 7
2 6 5
t 187 5
m 1 0
0 4 4
1 8 8
2 6 6
t 186 5
m 0 0
0 4 5
1 7 8
2 6 5
t 185 5
m 0 0
0 4 6
1 7 7
2 6 4
t 184 5
m 0 0
0 3 6
1 7 6
2 7 4
t 183 5
m 1 0
0 2 6
1 7 5
2 6 4
t 182 5
m 1 1
0 2 7
1 6 5
2 5 4
t 181 5
m 1 1
0 1 7
1 7 5
2 6 4
t 180 5
m 1 0
0 1 8
1 6 5
2 5 4
t 179 5
m 1 1
0 2 8
1 6 6
2 5 5
t 178 5
m 2 1
0 3 8
1 6 7
2 5 6
t 177 6
m 2 2
0 4 8
1 7 7
2 4 6
t 176 6
m 3 2
