CNF filename: cnf/cnf1.cnf
Random number seed value: 1441396680
Number of runs: 30
Number of fitness evaluations per run: 10000

Result Log

Run 1
1	41
3	46
13	47
83	49
4235	50

Run 2
1	40
2	42
3	45
14	47
50	48
297	50

Run 3
1	42
3	43
4	44
8	45
10	46
26	48
171	49
425	50

Run 4
1	42
2	45
5	48
270	49
3058	50

Run 5
1	41
2	43
4	45
13	46
28	47
99	48
116	49
568	50

Run 6
1	42
2	43
4	44
7	45
10	46
18	47
58	49
6363	50

Run 7
1	43
4	45
6	46
31	47
38	48
104	49
7127	50

Run 8
1	43
3	46
11	48
175	50

Run 9
1	44
2	47
97	48
296	49
2145	50

Run 10
1	44
5	47
9	48
56	49
422	50

Run 11
1	45
6	47
24	48
428	49
1346	50

Run 12
1	44
3	45
14	46
17	47
79	48
95	50

Run 13
1	41
2	45
3	46
12	47
46	48
213	49
496	50

Run 14
1	43
5	45
18	47
92	48
237	49
267	50

Run 15
1	41
2	46
23	47
38	49
522	50

Run 16
1	44
4	45
9	46
10	47
32	49
8545	50

Run 17
1	44
5	46
58	47
73	49
372	50

Run 18
1	42
2	43
6	44
10	46
12	47
13	48
59	49
162	50

Run 19
1	44
11	46
15	47
33	48
35	49
1282	50

Run 20
1	46
13	47
34	49
131	50

Run 21
1	39
2	46
38	48
96	49
1067	50

Run 22
1	48
911	49
6446	50

Run 23
1	46
54	47
287	48
633	49
975	50

Run 24
1	44
3	47
14	48
182	49
5119	50

Run 25
1	43
3	44
7	48
92	50

Run 26
1	46
14	47
79	48
235	50

Run 27
1	45
9	46
46	47
83	48
192	49
897	50

Run 28
1	43
3	45
5	48
68	49
241	50

Run 29
1	44
10	45
16	46
18	47
66	49
2575	50

Run 30
1	44
2	45
17	46
57	47
66	48
179	50

